feature,baseline_accuracy,permuted_accuracy,importance_drop
alcohol,0.8235897435897436,0.7958974358974359,0.027692307692307683
density,0.8235897435897436,0.8102564102564103,0.013333333333333308
chlorides,0.8235897435897436,0.8174358974358974,0.006153846153846176
free_sulfur_dioxide,0.8235897435897436,0.8194871794871795,0.004102564102564044
total_sulfur_dioxide,0.8235897435897436,0.8194871794871795,0.004102564102564044
pH,0.8235897435897436,0.8194871794871795,0.004102564102564044
residual_sugar,0.8235897435897436,0.8205128205128205,0.003076923076923088
volatile_acidity,0.8235897435897436,0.8205128205128205,0.003076923076923088
type_white,0.8235897435897436,0.8235897435897436,0.0
citric_acid,0.8235897435897436,0.8266666666666667,-0.003076923076923088
fixed_acidity,0.8235897435897436,0.8328205128205128,-0.009230769230769265
sulphates,0.8235897435897436,0.8369230769230769,-0.013333333333333308
